CNT,CNTRYID,CNTSCHID,W_SCHGRNRABWT
COL,170.0,17000001.0,8.45321
COL,170.0,17000002.0,44.2115
COL,170.0,17000003.0,74.85667
COL,170.0,17000004.0,60.95095
COL,170.0,17000005.0,59.84275
COL,170.0,17000006.0,54.12713
COL,170.0,17000007.0,39.09182
COL,170.0,17000008.0,74.73849
COL,170.0,17000009.0,27.27336
COL,170.0,17000010.0,23.14647
COL,170.0,17000011.0,17.69544
COL,170.0,17000012.0,13.17702
COL,170.0,17000013.0,4.30416
COL,170.0,17000014.0,76.54306
COL,170.0,17000015.0,19.76553
COL,170.0,17000016.0,27.79062
COL,170.0,17000017.0,9.15421
COL,170.0,17000018.0,149.477
COL,170.0,17000019.0,10.67662
COL,170.0,17000020.0,12.59472
COL,170.0,17000021.0,74.73849
COL,170.0,17000022.0,35.67064
COL,170.0,17000023.0,8.12679
COL,170.0,17000024.0,52.31694
COL,170.0,17000025.0,27.27336
COL,170.0,17000026.0,50.98933
COL,170.0,17000027.0,12.1858
COL,170.0,17000028.0,44.99433
COL,170.0,17000029.0,19.54591
COL,170.0,17000030.0,89.56058
COL,170.0,17000031.0,15.99211
COL,170.0,17000032.0,74.73849
COL,170.0,17000033.0,149.477
COL,170.0,17000034.0,89.98866
COL,170.0,17000035.0,3.16995
COL,170.0,17000036.0,44.99433
COL,170.0,17000037.0,22.0778
COL,170.0,17000038.0,28.14611
COL,170.0,17000039.0,47.56085
COL,170.0,17000040.0,89.56058
COL,170.0,17000041.0,33.50727
COL,170.0,17000042.0,41.88409
COL,170.0,17000043.0,62.78033
COL,170.0,17000044.0,156.731
COL,170.0,17000045.0,5.00862
COL,170.0,17000046.0,8.907
COL,170.0,17000047.0,23.29976
COL,170.0,17000048.0,23.14647
COL,170.0,17000049.0,31.59697
COL,170.0,17000050.0,36.9296
COL,170.0,17000051.0,8.01971
COL,170.0,17000052.0,28.63276
COL,170.0,17000053.0,14.18655
COL,170.0,17000054.0,149.477
COL,170.0,17000055.0,61.54934
COL,170.0,17000056.0,74.73849
COL,170.0,17000057.0,56.9931
COL,170.0,17000058.0,49.55301
COL,170.0,17000059.0,20.57464
COL,170.0,17000060.0,23.77205
COL,170.0,17000061.0,78.36551
COL,170.0,17000062.0,89.56058
COL,170.0,17000063.0,14.30188
COL,170.0,17000064.0,38.242
COL,170.0,17000065.0,41.14189
COL,170.0,17000066.0,48.19539
COL,170.0,17000067.0,74.73849
COL,170.0,17000068.0,156.731
COL,170.0,17000069.0,25.13045
COL,170.0,17000070.0,149.477
COL,170.0,17000071.0,78.18364
COL,170.0,17000072.0,1.13477
COL,170.0,17000073.0,149.477
COL,170.0,17000074.0,78.36551
COL,170.0,17000075.0,50.98933
COL,170.0,17000076.0,156.731
COL,170.0,17000077.0,20.54581
COL,170.0,17000078.0,78.36551
COL,170.0,17000079.0,29.89539
COL,170.0,17000080.0,16.36402
COL,170.0,17000081.0,74.47856
COL,170.0,17000082.0,13.12317
COL,170.0,17000083.0,9.72338
COL,170.0,17000084.0,30.47589
COL,170.0,17000085.0,37.03435
COL,170.0,17000086.0,149.477
COL,170.0,17000087.0,2.74057
