CNT,CNTRYID,CNTSCHID,CNTSTUID,ESCS,ST004D01T,ST001D01T,REPEAT,DISCLIM,TEACHSUP,COGACRCO,COGACMCO,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH
COL,170.0,17000132.0,17000001.0,-1.2308,1.0,11.0,0.0,0.1201,0.4357,0.1646,0.3747,40.45422,445.899,398.069,412.378,397.308,435.439,472.235,469.001,427.773,428.193,464.227
COL,170.0,17000081.0,17000002.0,-2.3695,2.0,10.0,0.0,,,,,100.5959,338.768,358.922,358.453,348.916,368.171,351.608,343.741,376.801,385.571,366.007
COL,170.0,17000220.0,17000003.0,-0.0731,2.0,9.0,1.0,0.7029,1.5558,0.8002,0.8309,23.89907,567.457,525.641,545.963,527.4,510.871,549.218,504.323,481.537,499.683,520.733
COL,170.0,17000224.0,17000004.0,,2.0,10.0,,,,,,111.4093,407.138,340.681,415.645,368.917,408.944,375.799,386.862,358.364,362.344,379.274
COL,170.0,17000042.0,17000005.0,-0.9326,1.0,9.0,0.0,-1.5712,1.5558,2.2775,1.2308,110.6589,297.356,313.147,320.543,277.335,265.728,256.234,293.282,263.127,319.873,297.522
COL,170.0,17000189.0,17000006.0,-1.4845,2.0,9.0,1.0,0.6387,0.8211,0.0289,0.8359,62.82811,341.919,324.359,290.617,293.312,326.765,333.053,291.098,325.274,302.174,300.314
COL,170.0,17000200.0,17000007.0,-1.9486,2.0,10.0,0.0,-0.0611,0.1475,-0.1309,0.9062,149.477,434.729,395.879,359.998,450.211,445.487,438.77,441.147,387.837,410.141,436.277
COL,170.0,17000234.0,17000008.0,-1.187,1.0,11.0,0.0,-0.0903,-1.0693,-0.2787,0.2509,94.88695,443.629,455.217,442.11,447.452,470.256,451.247,472.56,483.725,402.608,446.713
COL,170.0,17000158.0,17000010.0,-1.1001,2.0,10.0,0.0,0.3847,0.4357,0.5858,1.8369,88.39611,417.324,409.121,458.719,415.091,417.313,442.526,406.229,462.13,392.638,424.803
COL,170.0,17000012.0,17000011.0,-3.0248,1.0,10.0,0.0,1.8217,-0.8059,-0.1649,2.3416,51.45311,390.994,389.381,379.052,405.324,404.724,433.853,391.314,414.113,369.506,374.618
COL,170.0,17000233.0,17000012.0,-0.0288,1.0,9.0,0.0,1.7777,1.5558,0.104,,92.73857,322.357,280.572,314.401,312.698,301.975,312.421,349.274,348.582,279.465,273.72
COL,170.0,17000055.0,17000013.0,-2.3155,2.0,11.0,0.0,0.6533,1.5558,0.5969,0.9282,73.23003,419.988,448.822,437.348,414.774,419.016,406.027,443.017,427.84,451.979,423.096
COL,170.0,17000108.0,17000014.0,-2.0711,2.0,10.0,0.0,-0.8435,1.5558,0.6919,2.3191,81.52026,421.56,400.66,431.675,407.437,376.664,420.523,439.62,394.851,454.206,412.686
COL,170.0,17000189.0,17000015.0,-1.602,2.0,7.0,0.0,0.5807,-0.1002,0.4964,0.8784,62.82811,420.469,409.791,423.569,426.226,437.351,454.366,436.878,430.572,449.357,442.13
COL,170.0,17000042.0,17000019.0,-2.1972,2.0,10.0,0.0,-0.1124,-0.3322,2.1744,1.2002,79.78647,413.135,375.32,378.543,353.061,387.919,380.628,347.039,361.923,368.918,393.639
COL,170.0,17000042.0,17000022.0,-0.4217,1.0,10.0,0.0,0.8065,1.5558,-0.7873,-0.4637,75.79026,341.782,368.643,357.73,361.917,324.557,366.36,348.071,398.234,349.913,358.952
