term,predictor,estimate,sd,ci_lower,ci_upper,p_direction,excludes_zero
Intercept,Intercept,372.09724130869955,6.267035900081863,359.663005039883,384.1395817963335,1.0,True
ESCS,ESCS,7.3517903754048435,0.9045197028267861,5.385333600618302,8.988612304425642,1.0,True
Male,Gender (Male),19.588134922660515,1.4791804231137908,16.643159009915347,22.401824711628237,1.0,True
Grade8,Grade: 8,2.210593357473624,4.945073357856741,-7.258135729233731,12.348809587840114,0.67016,False
Grade9,Grade: 9,19.350983818209855,4.182881701149678,11.012998690072406,27.36711431796448,1.0,True
Grade10,Grade: 10,38.78922489503278,4.1275811275853,30.72099083464657,46.86519464896601,1.0,True
Grade11,Grade: 11,64.17993857350632,4.314059790954558,55.64439222133757,72.641837181388,1.0,True
RepeatYes,Grade Repetition (Yes),-10.402781640339079,1.9541589896874705,-14.214678626755465,-6.509881406240642,1.0,True
SCH_DISCLIM,Disciplinary Climate (DISCLIM),28.3975028458803,5.514061298730235,17.339173681752232,38.9969283332183,1.0,True
SCH_TEACHSUP,Teacher Support (TEACHSUP),-18.748777325451073,5.911756992762243,-30.260875909993487,-7.136957085266534,0.9992,True
SCH_COGACRCO,Cognitive Activation: Foster Reasoning (COGACRCO),36.21967108908811,6.676748809228615,23.220045128342235,49.523633349832416,1.0,True
SCH_COGACMCO,Cognitive Activation: Encourage Mathematical Thinking (COGACMCO),-31.26998175123483,8.443213181855157,-47.84429953551774,-14.420074040318159,1.0,True
